layout,envFactor,comparedMetric,n_leo,n_compared,t_statistic,p_value,pctDiff_leo_vs_compared,verdict_on_totalEnergyMWs
triangle,2.625,hopcount,40,40,1.3289,0.187981,7.07,not_significant (leo_higher)
triangle,2.625,lqi,40,40,0.7322,0.466251,4.03,not_significant (leo_higher)
triangle,2.625,lqi-literal,40,40,1.3289,0.187981,7.07,not_significant (leo_higher)
triangle,3,hopcount,40,40,0.4699,0.639732,2.06,not_significant (leo_higher)
triangle,3,lqi,40,40,0.2795,0.780633,1.15,not_significant (leo_higher)
triangle,3,lqi-literal,40,40,0.6005,0.54994,2.63,not_significant (leo_higher)
u-shaped,2,hopcount,20,20,0.1544,0.878156,0.44,not_significant (leo_higher)
u-shaped,2,lqi,20,20,1.0006,0.323497,2.81,not_significant (leo_higher)
u-shaped,2,lqi-literal,20,20,0.1544,0.878156,0.44,not_significant (leo_higher)
u-shaped,2.25,hopcount,20,20,2.4788,0.017948,9.57,significant (leo_higher)
u-shaped,2.25,lqi,20,20,2.1896,0.035502,7.91,significant (leo_higher)
u-shaped,2.25,lqi-literal,20,20,2.4788,0.017948,9.57,significant (leo_higher)
u-shaped,2.5,hopcount,20,20,2.9876,0.004909,9.52,significant (leo_higher)
u-shaped,2.5,lqi,20,20,2.8601,0.007125,7.64,significant (leo_higher)
u-shaped,2.5,lqi-literal,20,20,2.9876,0.004909,9.52,significant (leo_higher)
u-shaped,2.625,hopcount,20,20,3.1181,0.003685,10.42,significant (leo_higher)
u-shaped,2.625,lqi,20,20,2.5402,0.015593,7.85,significant (leo_higher)
u-shaped,2.625,lqi-literal,20,20,3.273,0.002432,10.91,significant (leo_higher)
u-shaped,3,hopcount,20,20,-0.019,0.984916,-0.18,not_significant (leo_lower)
u-shaped,3,lqi,20,20,0.0881,0.930295,0.86,not_significant (leo_higher)
u-shaped,3,lqi-literal,20,20,-0.1277,0.89905,-1.2,not_significant (leo_lower)
