layout,envFactor,metric,interference,run,totalEnergyMWs,pingTimeouts,pingNoRoute,pingSent,energy_netScan,energy_connect,energy_pathDiscovery,energy_pathDiscoveryReply,energy_ping,energy_pingReply,energy_ack
around,2,lqi-literal,0,19,7.79646,0,0,190,0.253659,0.255851,4.87378,0.08073,0.743492,0.859656,0.729297
around,2.25,hopcount,0,0,8.31259,0,0,190,0.254207,0.248727,4.80747,0.0841186,0.986697,1.04804,0.883327
around,2.25,hopcount,0,1,8.49111,0,0,190,0.253111,0.254755,4.82281,0.0841186,1.01616,1.11196,0.948183
around,2.25,hopcount,0,2,8.24652,0,0,190,0.254207,0.254755,4.82775,0.100246,0.886752,1.04055,0.882265
around,2.25,hopcount,0,3,8.6204,0,0,190,0.252015,0.257495,4.81569,0.0819239,1.03802,1.1707,1.00456
around,2.25,hopcount,0,4,8.69113,0,0,190,0.256399,0.256399,4.83871,0.0830226,1.09061,1.17796,0.988025
around,2.25,hopcount,0,5,8.42902,0,0,190,0.251467,0.254755,4.81953,0.0858465,0.974652,1.09977,0.943004
around,2.25,hopcount,0,6,8.81841,0,0,190,0.254207,0.255851,4.83158,0.088745,1.08356,1.22316,1.08129
around,2.25,hopcount,0,7,8.71521,0,0,190,0.255303,0.253111,4.83049,0.0847857,1.02891,1.15564,1.10697
around,2.25,hopcount,0,8,8.69298,0,0,190,0.250371,0.253111,4.81405,0.0778661,1.11325,1.16821,1.01613
around,2.25,hopcount,0,9,8.88104,0,0,190,0.252563,0.253111,4.80857,0.0777943,1.09722,1.32283,1.06895
around,2.25,hopcount,0,10,8.65634,0,0,190,0.255303,0.254207,4.83158,0.0797943,1.07264,1.13675,1.02607
around,2.25,hopcount,0,11,8.19658,0,0,190,0.247083,0.255303,4.83268,0.0801129,0.911636,1.01897,0.85079
around,2.25,hopcount,0,12,8.63559,0,0,190,0.256399,0.248179,4.83268,0.0882319,1.06317,1.16957,0.977363
around,2.25,hopcount,0,13,8.51614,0,0,190,0.255303,0.258043,4.81733,0.0904888,0.99947,1.09737,0.998125
around,2.25,hopcount,0,14,8.59864,0,0,190,0.253111,0.254207,4.82391,0.0847789,1.02954,1.17199,0.981101
around,2.25,hopcount,0,15,8.59035,0,0,190,0.258043,0.253111,4.80583,0.0837262,1.00541,1.15887,1.02536
around,2.25,hopcount,0,16,8.68736,0,0,190,0.252563,0.254755,4.83103,0.0761073,1.06723,1.21582,0.989854
around,2.25,hopcount,0,17,8.55897,0,0,190,0.252015,0.252563,4.82884,0.0835706,1.06969,1.12182,0.950469
around,2.25,hopcount,0,18,8.83619,0,0,190,0.253659,0.256399,4.80089,0.0819415,1.09863,1.28914,1.05553
around,2.25,hopcount,0,19,8.85406,0,0,190,0.250371,0.255303,4.83377,0.0813272,1.15098,1.22515,1.05716
around,2.25,lqi,0,0,8.31259,0,0,190,0.254207,0.248727,4.80747,0.0841186,0.986697,1.04804,0.883327
around,2.25,lqi,0,1,8.49111,0,0,190,0.253111,0.254755,4.82281,0.0841186,1.01616,1.11196,0.948183
around,2.25,lqi,0,2,8.24652,0,0,190,0.254207,0.254755,4.82775,0.100246,0.886752,1.04055,0.882265
around,2.25,lqi,0,3,8.6204,0,0,190,0.252015,0.257495,4.81569,0.0819239,1.03802,1.1707,1.00456
around,2.25,lqi,0,4,8.69113,0,0,190,0.256399,0.256399,4.83871,0.0830226,1.09061,1.17796,0.988025
around,2.25,lqi,0,5,8.42902,0,0,190,0.251467,0.254755,4.81953,0.0858465,0.974652,1.09977,0.943004
around,2.25,lqi,0,6,8.81841,0,0,190,0.254207,0.255851,4.83158,0.088745,1.08356,1.22316,1.08129
around,2.25,lqi,0,7,8.71521,0,0,190,0.255303,0.253111,4.83049,0.0847857,1.02891,1.15564,1.10697
around,2.25,lqi,0,8,8.69298,0,0,190,0.250371,0.253111,4.81405,0.0778661,1.11325,1.16821,1.01613
around,2.25,lqi,0,9,8.88104,0,0,190,0.252563,0.253111,4.80857,0.0777943,1.09722,1.32283,1.06895
