layout,envFactor,metric,interference,run,totalEnergyMWs,pingTimeouts,pingNoRoute,pingSent,energy_netScan,energy_connect,energy_pathDiscovery,energy_pathDiscoveryReply,energy_ping,energy_pingReply,energy_ack
around,2,lqi-literal,0,17,9.8016,5,6,184,0.255303,0.256399,6.14975,0.153235,0.972083,1.08725,0.92759
around,2,lqi-literal,0,18,8.69976,0,0,190,0.259139,0.250919,4.86008,0.0930416,1.0975,1.15479,0.984297
around,2,lqi-literal,0,19,10.2247,1,1,189,0.256947,0.252015,5.10935,0.0988393,2.02804,1.27304,1.20649
around,2.25,hopcount,0,0,13.2965,10,10,180,0.248179,0.253659,7.28598,0.294226,1.75076,1.96284,1.50083
around,2.25,hopcount,0,1,12.7641,15,15,175,0.251467,0.246535,8.4655,0.377418,1.17413,1.23726,1.01184
around,2.25,hopcount,0,2,10.6004,5,5,185,0.248727,0.248727,5.97603,0.19837,1.33091,1.46311,1.13448
around,2.25,hopcount,0,3,11.1215,3,3,187,0.252015,0.247083,5.49063,0.133054,1.72342,1.80852,1.46678
around,2.25,hopcount,0,4,12.3472,10,10,180,0.249275,0.247631,7.19994,0.19201,1.50386,1.66256,1.29192
around,2.25,hopcount,0,5,9.7154,0,0,190,0.252563,0.247631,4.72691,0.0801129,1.4622,1.66439,1.28159
around,2.25,hopcount,0,6,11.4518,0,0,190,0.251467,0.248179,4.72034,0.0944915,2.02871,2.33576,1.77288
around,2.25,hopcount,0,7,11.7703,5,5,185,0.248179,0.248727,5.98699,0.183164,1.73896,1.90418,1.46011
around,2.25,hopcount,0,8,11.7148,5,5,185,0.244891,0.249823,6.01055,0.182068,1.74666,1.81264,1.4682
around,2.25,hopcount,0,9,10.3068,2,2,188,0.248179,0.249275,5.24464,0.104147,1.4749,1.68784,1.29782
around,2.25,hopcount,0,10,12.0839,10,17,173,0.249275,0.251467,7.24707,0.234141,1.37102,1.50514,1.22577
around,2.25,hopcount,0,11,10.4756,0,0,190,0.250919,0.252015,4.78884,0.088039,1.76523,1.84164,1.48893
around,2.25,hopcount,0,12,12.3457,11,11,179,0.251467,0.254207,7.56813,0.27365,1.35887,1.42352,1.21583
around,2.25,hopcount,0,13,12.1131,7,7,183,0.253659,0.250371,6.52829,0.205006,1.59185,1.76664,1.51728
around,2.25,hopcount,0,14,10.3957,0,0,190,0.253659,0.247083,4.74116,0.111004,1.68447,1.83285,1.52553
around,2.25,hopcount,0,15,11.8383,5,5,185,0.248727,0.242151,5.95685,0.203362,1.79238,1.85149,1.54335
around,2.25,hopcount,0,16,10.8224,2,2,188,0.249275,0.249823,5.27972,0.103517,1.58335,1.83517,1.52153
around,2.25,hopcount,0,17,11.5508,6,7,183,0.252563,0.256947,6.31134,0.168725,1.58646,1.63841,1.33634
around,2.25,hopcount,0,18,11.5912,7,7,183,0.253659,0.246535,6.53431,0.20184,1.46233,1.54428,1.34827
around,2.25,hopcount,0,19,11.0603,3,3,187,0.253659,0.244891,5.49885,0.101622,1.76953,1.75278,1.43901
around,2.25,lqi,0,0,11.8797,4,4,186,0.248179,0.253659,5.80019,0.144086,1.82645,1.97573,1.63145
around,2.25,lqi,0,1,10.8135,5,5,185,0.251467,0.246535,5.97603,0.147539,1.38621,1.51067,1.29499
around,2.25,lqi,0,2,10.0226,3,3,187,0.248727,0.248727,5.46652,0.137938,1.27413,1.40662,1.23996
around,2.25,lqi,0,3,10.9907,2,2,188,0.252015,0.247083,5.24519,0.130715,1.75732,1.84566,1.51269
around,2.25,lqi,0,4,11.5671,5,5,185,0.249275,0.247631,5.97713,0.14632,1.61889,1.83931,1.48857
