layout,envFactor,metric,interference,run,totalEnergyMWs,pingTimeouts,pingNoRoute,pingSent,energy_netScan,energy_connect,energy_pathDiscovery,energy_pathDiscoveryReply,energy_ping,energy_pingReply,energy_ack
around,2.25,hopcount,0,9,8.17653,0,0,190,0.253111,0.252015,4.84912,0.0875762,0.872258,1.03239,0.830061
around,2.25,hopcount,0,10,8.33773,0,0,190,0.257495,0.255851,4.82555,0.0818771,0.918076,1.08541,0.913473
around,2.25,hopcount,0,11,8.32964,0,0,190,0.251467,0.250919,4.82172,0.0893404,0.940815,1.06918,0.906201
around,2.25,hopcount,0,12,8.57967,0,0,190,0.252015,0.254755,4.83103,0.0870989,0.979787,1.17889,0.99609
around,2.25,hopcount,0,13,8.0547,0,0,190,0.254207,0.253111,4.81185,0.0761073,0.852725,0.988864,0.817829
around,2.25,hopcount,0,14,8.21026,0,0,190,0.254207,0.255851,4.83158,0.0847867,0.940884,0.98023,0.862716
around,2.25,hopcount,0,15,8.34503,0,0,190,0.254207,0.254755,4.83158,0.0818771,0.922691,1.08955,0.910365
around,2.25,hopcount,0,16,8.18624,0,0,190,0.253659,0.254755,4.81295,0.0864802,0.899122,1.03708,0.842199
around,2.25,hopcount,0,17,8.13311,0,0,190,0.254755,0.252563,4.84254,0.0875762,0.904809,0.960826,0.830036
around,2.25,hopcount,0,18,8.39901,0,0,190,0.252563,0.250919,4.83103,0.0778714,0.946509,1.10839,0.93173
around,2.25,hopcount,0,19,8.63012,0,0,190,0.252015,0.259687,4.81185,0.0911045,0.954592,1.24924,1.01162
around,2.25,lqi,0,0,8.60571,0,0,190,0.255303,0.255851,4.82391,0.0963263,0.99682,1.1659,1.0116
around,2.25,lqi,0,1,8.45153,0,0,190,0.253659,0.253111,4.82281,0.0876469,0.986446,1.08897,0.958884
around,2.25,lqi,0,2,8.24334,0,0,190,0.253111,0.256947,4.82007,0.0778714,0.870491,1.0818,0.883051
around,2.25,lqi,0,3,8.20648,0,0,190,0.252563,0.254755,4.81788,0.0795649,0.905279,1.04828,0.848159
around,2.25,lqi,0,4,8.20846,0,0,190,0.247631,0.256947,4.83761,0.0853347,0.911742,1.00052,0.868676
around,2.25,lqi,0,5,8.31476,0,0,190,0.258591,0.256947,4.82007,0.0778714,0.896787,1.0906,0.913893
around,2.25,lqi,0,6,8.34533,0,0,190,0.253111,0.258043,4.83103,0.0841186,0.982236,1.05978,0.877012
around,2.25,lqi,0,7,8.62624,0,0,190,0.255851,0.253111,4.83816,0.0911045,1.04545,1.09424,1.04832
around,2.25,lqi,0,8,8.11805,0,0,190,0.254755,0.249275,4.82117,0.0801129,0.886451,0.994551,0.83173
around,2.25,lqi,0,9,8.17653,0,0,190,0.253111,0.252015,4.84912,0.0875762,0.872258,1.03239,0.830061
around,2.25,lqi,0,10,8.33773,0,0,190,0.257495,0.255851,4.82555,0.0818771,0.918076,1.08541,0.913473
around,2.25,lqi,0,11,8.32964,0,0,190,0.251467,0.250919,4.82172,0.0893404,0.940815,1.06918,0.906201
around,2.25,lqi,0,12,8.57967,0,0,190,0.252015,0.254755,4.83103,0.0870989,0.979787,1.17889,0.99609
around,2.25,lqi,0,13,8.0547,0,0,190,0.254207,0.253111,4.81185,0.0761073,0.852725,0.988864,0.817829
around,2.25,lqi,0,14,8.21026,0,0,190,0.254207,0.255851,4.83158,0.0847867,0.940884,0.98023,0.862716
around,2.25,lqi,0,15,8.34503,0,0,190,0.254207,0.254755,4.83158,0.0818771,0.922691,1.08955,0.910365
around,2.25,lqi,0,16,8.18624,0,0,190,0.253659,0.254755,4.81295,0.0864802,0.899122,1.03708,0.842199
around,2.25,lqi,0,17,8.13311,0,0,190,0.254755,0.252563,4.84254,0.0875762,0.904809,0.960826,0.830036
around,2.25,lqi,0,18,8.39901,0,0,190,0.252563,0.250919,4.83103,0.0778714,0.946509,1.10839,0.93173
around,2.25,lqi,0,19,8.63012,0,0,190,0.252015,0.259687,4.81185,0.0911045,0.954592,1.24924,1.01162
around,2.25,leo,0,0,8.60571,0,0,190,0.255303,0.255851,4.82391,0.0963263,0.99682,1.1659,1.0116
around,2.25,leo,0,1,8.45153,0,0,190,0.253659,0.253111,4.82281,0.0876469,0.986446,1.08897,0.958884
around,2.25,leo,0,2,8.24334,0,0,190,0.253111,0.256947,4.82007,0.0778714,0.870491,1.0818,0.883051
around,2.25,leo,0,3,8.20648,0,0,190,0.252563,0.254755,4.81788,0.0795649,0.905279,1.04828,0.848159
around,2.25,leo,0,4,8.20846,0,0,190,0.247631,0.256947,4.83761,0.0853347,0.911742,1.00052,0.868676
around,2.25,leo,0,5,8.31476,0,0,190,0.258591,0.256947,4.82007,0.0778714,0.896787,1.0906,0.913893
around,2.25,leo,0,6,8.34533,0,0,190,0.253111,0.258043,4.83103,0.0841186,0.982236,1.05978,0.877012
around,2.25,leo,0,7,8.6571,0,0,190,0.255851,0.253111,4.83816,0.0911045,1.05173,1.10814,1.059
around,2.25,leo,0,8,8.11805,0,0,190,0.254755,0.249275,4.82117,0.0801129,0.886451,0.994551,0.83173
around,2.25,leo,0,9,8.17653,0,0,190,0.253111,0.252015,4.84912,0.0875762,0.872258,1.03239,0.830061
around,2.25,leo,0,10,8.33773,0,0,190,0.257495,0.255851,4.82555,0.0818771,0.918076,1.08541,0.913473
around,2.25,leo,0,11,8.32964,0,0,190,0.251467,0.250919,4.82172,0.0893404,0.940815,1.06918,0.906201
around,2.25,leo,0,12,8.57967,0,0,190,0.252015,0.254755,4.83103,0.0870989,0.979787,1.17889,0.99609
around,2.25,leo,0,13,8.0547,0,0,190,0.254207,0.253111,4.81185,0.0761073,0.852725,0.988864,0.817829
around,2.25,leo,0,14,8.21026,0,0,190,0.254207,0.255851,4.83158,0.0847867,0.940884,0.98023,0.862716
around,2.25,leo,0,15,8.34503,0,0,190,0.254207,0.254755,4.83158,0.0818771,0.922691,1.08955,0.910365
around,2.25,leo,0,16,8.18624,0,0,190,0.253659,0.254755,4.81295,0.0864802,0.899122,1.03708,0.842199
around,2.25,leo,0,17,8.13311,0,0,190,0.254755,0.252563,4.84254,0.0875762,0.904809,0.960826,0.830036
around,2.25,leo,0,18,8.39901,0,0,190,0.252563,0.250919,4.83103,0.0778714,0.946509,1.10839,0.93173
around,2.25,leo,0,19,8.63012,0,0,190,0.252015,0.259687,4.81185,0.0911045,0.954592,1.24924,1.01162
around,2.25,lqi-literal,0,0,8.60571,0,0,190,0.255303,0.255851,4.82391,0.0963263,0.99682,1.1659,1.0116
around,2.25,lqi-literal,0,1,8.45153,0,0,190,0.253659,0.253111,4.82281,0.0876469,0.986446,1.08897,0.958884
around,2.25,lqi-literal,0,2,8.24334,0,0,190,0.253111,0.256947,4.82007,0.0778714,0.870491,1.0818,0.883051
around,2.25,lqi-literal,0,3,8.20648,0,0,190,0.252563,0.254755,4.81788,0.0795649,0.905279,1.04828,0.848159
around,2.25,lqi-literal,0,4,8.20846,0,0,190,0.247631,0.256947,4.83761,0.0853347,0.911742,1.00052,0.868676
around,2.25,lqi-literal,0,5,8.31476,0,0,190,0.258591,0.256947,4.82007,0.0778714,0.896787,1.0906,0.913893
around,2.25,lqi-literal,0,6,8.34533,0,0,190,0.253111,0.258043,4.83103,0.0841186,0.982236,1.05978,0.877012
around,2.25,lqi-literal,0,7,8.62624,0,0,190,0.255851,0.253111,4.83816,0.0911045,1.04545,1.09424,1.04832
around,2.25,lqi-literal,0,8,8.11805,0,0,190,0.254755,0.249275,4.82117,0.0801129,0.886451,0.994551,0.83173
around,2.25,lqi-literal,0,9,8.17653,0,0,190,0.253111,0.252015,4.84912,0.0875762,0.872258,1.03239,0.830061
around,2.25,lqi-literal,0,10,8.33773,0,0,190,0.257495,0.255851,4.82555,0.0818771,0.918076,1.08541,0.913473
around,2.25,lqi-literal,0,11,8.32964,0,0,190,0.251467,0.250919,4.82172,0.0893404,0.940815,1.06918,0.906201
around,2.25,lqi-literal,0,12,8.57967,0,0,190,0.252015,0.254755,4.83103,0.0870989,0.979787,1.17889,0.99609
around,2.25,lqi-literal,0,13,8.0547,0,0,190,0.254207,0.253111,4.81185,0.0761073,0.852725,0.988864,0.817829
