layout,envFactor,metric,interference,run,totalEnergyMWs,pingTimeouts,pingNoRoute,pingSent,energy_netScan,energy_connect,energy_pathDiscovery,energy_pathDiscoveryReply,energy_ping,energy_pingReply,energy_ack
around,2,leo,0,5,7.4944,0,0,190,0.256399,0.256947,4.87049,0.0801129,0.660483,0.734551,0.635416
around,2,leo,0,6,7.62772,0,0,190,0.255851,0.258043,4.85953,0.0795649,0.673277,0.842812,0.658641
around,2,leo,0,7,7.50418,0,0,190,0.253659,0.254207,4.87761,0.0870282,0.622491,0.782173,0.627004
around,2,leo,0,8,7.44303,0,0,190,0.256399,0.256399,4.86885,0.0875762,0.596975,0.758104,0.618735
around,2,leo,0,9,7.49608,0,0,190,0.255851,0.255303,4.8672,0.0915819,0.656512,0.73695,0.632683
around,2,leo,0,10,7.41919,0,0,190,0.253111,0.256947,4.86446,0.0801129,0.632344,0.718862,0.613354
around,2,leo,0,11,7.58313,0,0,190,0.256947,0.257495,4.87707,0.0784392,0.638544,0.784739,0.689897
around,2,leo,0,12,7.63276,0,0,190,0.252563,0.257495,4.86227,0.0852845,0.68791,0.798269,0.688969
around,2,leo,0,13,7.61423,0,0,190,0.258043,0.256399,4.86611,0.0841186,0.687248,0.80367,0.658641
around,2,leo,0,14,7.39457,0,0,190,0.259687,0.258591,4.86885,0.0835706,0.578788,0.742759,0.602322
around,2,leo,0,15,7.44767,0,0,190,0.258043,0.254755,4.88255,0.0830226,0.596975,0.759525,0.612806
around,2,leo,0,16,7.4704,0,0,190,0.255851,0.258043,4.86008,0.0761073,0.625458,0.764184,0.630682
around,2,leo,0,17,7.66389,0,0,190,0.252015,0.255851,4.86172,0.0910339,0.706838,0.797125,0.699302
around,2,leo,0,18,7.54276,0,0,190,0.257495,0.256399,4.86994,0.0830628,0.631271,0.762573,0.682014
around,2,leo,0,19,7.6232,0,0,190,0.254755,0.257495,4.86282,0.0887422,0.644605,0.825694,0.689086
around,2.25,hopcount,0,0,8.39065,0,0,190,0.255851,0.254207,4.82884,0.0830932,0.945052,1.1,0.923598
around,2.25,hopcount,0,1,8.5039,0,0,190,0.253111,0.254207,4.81514,0.0830932,0.969962,1.15693,0.971459
around,2.25,hopcount,0,2,8.35962,0,0,190,0.252563,0.252015,4.81788,0.0870282,0.947622,1.09165,0.910859
around,2.25,hopcount,0,3,8.11859,0,0,190,0.255303,0.249823,4.82117,0.0795649,0.86123,1.02124,0.830252
around,2.25,hopcount,0,4,8.14026,0,0,190,0.257495,0.251467,4.82172,0.0830226,0.907801,0.98769,0.831062
around,2.25,hopcount,0,5,8.19966,0,0,190,0.252563,0.249823,4.82007,0.0801129,0.940057,1.00088,0.856145
around,2.25,hopcount,0,6,8.33617,0,0,190,0.255303,0.252563,4.8272,0.0795649,0.95138,1.09737,0.872791
around,2.25,hopcount,0,7,8.18303,0,0,190,0.252563,0.253659,4.83049,0.0904859,0.918655,1.00171,0.835474
around,2.25,hopcount,0,8,8.14673,0,0,190,0.252015,0.253111,4.82775,0.0875762,0.873606,1.01561,0.837072
around,2.25,hopcount,0,9,8.24035,0,0,190,0.252563,0.251467,4.82391,0.0915819,0.938657,1.02511,0.857054
around,2.25,hopcount,0,10,8.36396,0,0,190,0.253111,0.254755,4.83651,0.0796356,0.972662,1.04809,0.919186
around,2.25,hopcount,0,11,8.37902,0,0,190,0.253111,0.254755,4.82884,0.0796356,0.91372,1.10783,0.941129
around,2.25,hopcount,0,12,8.56881,0,0,190,0.253659,0.255303,4.82117,0.088863,1.00558,1.14176,1.00248
around,2.25,hopcount,0,13,8.33397,0,0,190,0.254755,0.253659,4.81898,0.0841186,0.969565,1.07514,0.877751
around,2.25,hopcount,0,14,8.11601,0,0,190,0.256947,0.256399,4.82555,0.0835706,0.866744,1.0057,0.821095
around,2.25,hopcount,0,15,8.14962,0,0,190,0.256399,0.254207,4.83268,0.0870282,0.869266,1.0196,0.830443
around,2.25,hopcount,0,16,8.23983,0,0,190,0.256399,0.256399,4.81624,0.0875762,0.921524,1.04411,0.857577
around,2.25,hopcount,0,17,8.48018,0,0,190,0.246535,0.255303,4.81953,0.0950395,0.978137,1.1427,0.942937
around,2.25,hopcount,0,18,8.37618,0,0,190,0.252563,0.253111,4.82117,0.0848574,0.944603,1.06884,0.951031
around,2.25,hopcount,0,19,8.41422,0,0,190,0.252015,0.256399,4.80089,0.0893404,0.94269,1.12604,0.946847
